day,km,start
1, 15.01, 2020-08-01
2, 0, 2020-08-02
3, 11.01, 2020-08-03
4, 0, 2020-08-04
5, 0, 2020-08-05
6, 0, 2020-08-06
7, 0, 2020-08-08
8, 16.02, 2020-08-08
9, 0, 2020-08-09
10, 0, 2020-08-10
11, 8.03, 2020-08-11
12, 0, 2020-08-12
13, 21.11, 2020-08-13
14, 0, 2020-08-14
15, 0, 2020-08-15
16, 0, 2020-08-16
17, 0, 2020-08-17
18, 10.02, 2020-08-18
19, 0, 2020-08-19
20, 10.02, 2020-08-20
21, 10, 2020-08-21
22, 0, 2020-08-22
23, 5.01, 2020-08-23
24, , 2020-08-24
25, , 2020-08-25
26, , 2020-08-26
27, , 2020-08-27
28, , 2020-08-28
29, , 2020-08-29
30, , 2020-08-30
31, , 2020-08-31